"Density
(P/Km2)",Agricultural Land( %),Armed Forces size,Co2-Emissions,CPI,Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation_Critical
4.672828834461906,59.9,11.23850177707664,10.250086907777256,4.82655218668264,1.4,25.328665996498557,101.9,41.4,1.5475625087160128,0.0487901641694318,32.097058823529416,8.42,53.6,15.97659574468085,37.7,1.64,15.983321886909918,21.521757,-77.781167,0
4.927253685157205,62.0,9.61587214452889,10.366812680153265,4.712678393703377,1.55,26.57569248258522,101.3,80.6,1.5260563034950496,2.2163733961749803,13.7,4.01,62.2,32.4,23.8,4.91,15.44866089544478,56.26392,9.501785,0
3.784189633918261,73.4,9.472781556562168,6.431331081933479,4.7978545298175925,1.32,21.922843906556636,75.3,5.3,3.927896354584436,0.3893357261782807,20.4,0.22,60.2,15.97659574468085,37.9,10.3,13.53916399517624,11.825138,42.590275,0
4.574710978503383,33.3,10.357774570341576,5.198497031265826,4.652721487846314,1.0253535353535357,20.205807152995828,114.7,7.2,3.5234150143864045,0.9082585601768908,28.4,1.08,62.055,22.1,32.6,5.375,10.836261683668637,15.414999,-61.370976,0
5.420534999272286,48.7,11.170449240431308,10.136937806838977,4.916324614625014,1.07,25.211242418942888,105.7,59.9,3.2228678461377385,0.3364722366212129,43.7,1.56,64.3,13.0,48.8,5.84,15.988838083945122,18.735693,-70.162651,1
5.749392985908253,76.4,10.645448706505872,8.877660933593667,4.720550337028165,0.83,24.01994087014601,94.8,29.4,2.5494451709255714,0.4054651081081642,27.9,1.57,59.1,18.1,36.4,4.11,15.361945409837636,13.794185,-88.89653,1
3.9318256327243257,10.1,6.90875477931522,8.640472207576408,4.831109824604303,1.0253535353535357,23.123592238155837,61.8,1.9,4.152613470346076,0.7178397931503169,72.0,0.4,62.0,6.1,79.4,6.43,13.80020705441513,1.650801,10.267895,1
3.4657359027997265,23.1,8.699681400989514,9.716615658643356,4.813321919483064,1.14,24.169658037803856,97.2,69.6,1.131402111491101,1.420695787837223,22.8,4.48,63.6,20.9,47.8,5.11,13.727798935860251,58.595272,25.013607,0
4.219507705176107,39.03009708737864,10.357774570341576,10.12474933443232,4.82655218668264,1.0253535353535357,22.055975952241827,101.9,41.16019417475728,3.045123274290848,1.1320237604348904,11.3,2.067961165048544,62.055,28.6,37.7,5.375,15.589493371229572,-26.522503,31.465866,0
4.7535901911063645,36.3,11.8350162104899,9.607168286688683,4.97576775876718,0.75,25.28873488334452,101.0,8.1,3.691376334312523,0.1922718876471227,37.8,0.08,79.6,7.5,37.7,2.08,16.984721698381627,9.145,40.489673,0
2.9444389791664403,7.5,10.12667110305036,10.733610188123151,4.730303916744857,1.45,26.317089095021117,100.2,88.2,0.8754687373538993,2.222892324084797,19.9,3.81,59.1,20.8,36.6,6.59,15.366660030083647,61.92411,25.748151,0
2.302585092994046,20.0,8.853808274977197,8.579604451537634,4.813727878973883,0.92,23.53615403095521,139.9,8.3,3.517497837358316,0.9001613499442714,25.9,0.68,52.9,10.2,47.1,20.0,14.48318350805016,-0.803689,11.609444,0
4.060443010546419,34.5,10.165890277802454,9.223157875686796,4.9023817086560015,0.76,23.59926794253041,98.6,63.9,2.272125885509337,0.0487901641694318,57.3,7.12,68.3,21.7,9.9,14.4,14.60236527113896,42.315407,43.356892,0
5.484796933490655,47.7,12.100717685412471,13.498020612255338,4.734881792509748,1.39,28.977958562634687,104.0,70.2,1.4109869737102625,2.39698576841553,12.5,4.25,60.8,11.5,48.8,3.04,17.979456366575782,51.165691,10.451526,0
